name,organizer,category,prefecture,city,address,venue,schedule_text,schedule_rule,opening_hours,entry_fee,is_free_entry,has_food,has_parking,access_text,nearest_station,walk_min,highlights,notes,official_url,latitude,longitude,verified_at,extra_dates
代々木公園フリーマーケット,東京スウェーデン倶楽部,オールジャンル,東京都,渋谷区,代々木公園内 B区画,代々木公園,毎月第1・3日曜日,monthly:1sun,3sun,9:00〜16:00,無料,TRUE,TRUE,FALSE,JR原宿駅・地下鉄代々木公園駅から徒歩5分,原宿駅,5,"東京最大級のフリーマーケット。毎回500〜600店が出店。衣類・雑貨・骨董・食品など幅広いジャンル。家族連れにも人気のイベント。",雨天中止。公式サイトで開催確認を。,,35.6714,139.6948,2026-01-15
万博記念公園フリーマーケット,フリマnetwork,オールジャンル,大阪府,吹田市,万博記念公園内,万博記念公園（お祭り広場）,毎月第3土・日曜日,monthly:3sat,3sun,10:00〜16:00,無料,TRUE,TRUE,TRUE,大阪モノレール万博記念公園駅から徒歩5分,万博記念公園駅,5,"関西最大級のフリーマーケット。毎回1000店以上が出店。太陽の塔を望む広大な公園で開催。飲食ブースも充実。",荒天中止。場内駐車場あり（有料）。,,34.8059,135.5260,2026-01-20
弘法市（東寺）,東寺,骨董・アンティーク,京都府,京都市南区,九条町1番地,東寺（教王護国寺）境内,毎月21日,monthly:d21,日の出〜夕刻,無料,TRUE,TRUE,FALSE,近鉄東寺駅から徒歩2分。JR京都駅から徒歩15分。,東寺駅,2,"弘法大師の命日に毎月開催される1200年の歴史を誇る骨董市。古美術・骨董・着物・漬物・植木など約1000店が軒を連ねる京都の名物市。",21日が日曜の場合は通常通り開催。1月・12月は縁日のため特別開催。,,34.9797,135.7490,2026-01-21
横浜赤レンガ倉庫アンティークフェア,横浜赤レンガ倉庫,骨董・アンティーク,神奈川県,横浜市中区,新港1丁目1番,横浜赤レンガ倉庫 イベント広場,年4回（春・夏・秋・冬）,irregular,10:00〜18:00,無料,TRUE,TRUE,FALSE,"みなとみらい線馬車道駅から徒歩6分、日本大通り駅から徒歩6分",馬車道駅,6,"港の見える赤レンガ倉庫を舞台にしたアンティーク市。家具・食器・アクセサリー・ヴィンテージ衣類など上質な出店が揃う。デートや家族おでかけにも。",開催日程は公式サイトで要確認。,,35.4500,139.6432,2026-02-01
東京蚤の市,手紙社,骨董・アンティーク,東京都,府中市,緑町3丁目4番1号,東京オーヴァル京王閣,年2回（春・秋）,irregular,10:00〜18:00,1,000円,FALSE,TRUE,TRUE,京王線京王閣駅すぐ,京王閣駅,1,"「懐かしくて新しい暮らしの道具市」をコンセプトにしたスタイリッシュなアンティーク＆クラフト市。全国から選りすぐりの出店者が集まる人気イベント。",入場有料（前売券あり）。開催日は公式サイトで確認。,,35.6487,139.4761,2026-01-10
大江戸骨董市,大江戸骨董市実行委員会,骨董・アンティーク,東京都,千代田区,2丁目3番1号,東京国際フォーラム 地上広場,毎月第1・3日曜日,monthly:1sun,3sun,9:00〜16:00,無料,TRUE,FALSE,FALSE,JR有楽町駅・地下鉄有楽町駅から徒歩1分,有楽町駅,1,"丸の内・有楽町の一等地で開催。約250店の骨董・アンティーク専門店が集まる。外国人観光客にも人気で国際色豊か。",悪天候中止。真夏・年末年始は変則開催あり。,,35.6768,139.7639,2026-01-19
名古屋骨董祭,名古屋骨董祭実行委員会,骨董・アンティーク,愛知県,名古屋市中区,三の丸3丁目,愛知県体育館・金城ふ頭,年数回,irregular,10:00〜17:00,500円,FALSE,TRUE,TRUE,地下鉄名城線市役所駅から徒歩3分,市役所駅,3,"中部最大級の骨董市。陶磁器・着物・古道具・絵画など約300店が出店。名古屋城を背景に開催されることも。",開催日程・会場は年によって変わるため公式サイト要確認。,https://www.nagoyakottousai.com/,35.1849,136.9026,2026-01-05,2026-04-25,2026-04-26
ハンドメイドインジャパンフェス,クリーマ,ハンドメイド・クラフト,東京都,江東区,有明3丁目10番5号,東京ビッグサイト 東展示棟,年2回（夏・冬）,irregular,11:00〜18:00,1,500円,FALSE,TRUE,FALSE,りんかい線国際展示場駅から徒歩3分,国際展示場駅,3,"日本最大級のハンドメイドマーケットプレイス「Creema」主催。全国から5,000組以上のクリエイターが出店。アクセサリー・陶芸・テキスタイルなど幅広いジャンルのオリジナル作品が揃う。",入場有料（前売券あり）。チケットは事前購入がおすすめ。,,35.6286,139.7956,2026-01-08
福岡天神フリーマーケット,天神フリーマーケット実行委員会,雑貨・衣類,福岡県,福岡市中央区,天神1丁目,天神中央公園,毎月第1土曜日,monthly:1sat,10:00〜16:00,無料,TRUE,TRUE,FALSE,地下鉄天神駅から徒歩3分,天神駅,3,"福岡市の中心部・天神エリアで開催。衣類・雑貨・古本などを中心に約200店が出店。地元ファミリーに人気のマーケット。",荒天中止。,,33.5897,130.3991,2026-01-04
平和島全国古民具骨董まつり,アートアンチック,骨董・アンティーク,東京都,大田区,平和島6丁目1番1号,東京流通センター 第一展示場,年4回（3・5・9・12月）,irregular,10:00〜18:00（最終日〜16:00）,無料,TRUE,FALSE,TRUE,東京モノレール流通センター駅すぐ,流通センター駅,2,"全国から約800店が出店する日本最大規模の骨董市。和家具・陶器・ガラス・着物・古玩具など幅広い品揃え。バイヤーから一般ファミリーまで楽しめる。",入場無料。駐車場あり（有料）。,https://kottouichi.com/,35.5752,139.7359,2026-04-10,2026-05-02,2026-05-03,2026-09-12,2026-09-13,2026-12-05,2026-12-06
仙台朝市フリーマーケット,仙台朝市協同組合,雑貨・衣類,宮城県,仙台市青葉区,中央2丁目3,仙台朝市,毎週土曜日,weekly:sat,8:00〜13:00,無料,TRUE,FALSE,FALSE,JR仙台駅から徒歩10分。地下鉄広瀬通駅から徒歩5分。,広瀬通駅,5,"仙台の下町情緒あふれる朝市内で開催。地元の生鮮食品・総菜とともにフリマ出店も。地域住民の交流の場にもなっている。",毎週開催のため参加しやすい。,,38.2587,140.8717,2026-01-11
札幌大通フリーマーケット,大通公園管理ボランティア,オールジャンル,北海道,札幌市中央区,大通西3丁目〜7丁目,大通公園,5〜10月の第2日曜日,monthly:2sun:5-10,10:00〜16:00,無料,TRUE,FALSE,FALSE,地下鉄大通駅から徒歩すぐ,大通駅,1,"テレビ塔を背景に大通公園で開催。衣類・雑貨・おもちゃなど幅広いジャンル。札幌観光の合間にも立ち寄りやすい。",冬期（11月〜4月）は休止。,,43.0617,141.3563,2026-01-06
